# L    TT    EE    BB    TE    PP    TP    EP
217    5.71074E+03    8.08122E-01    1.21417E-05    9.54093E+00    5.20065E-08    1.27021E-04    -1.55054E-07
218    5.71240E+03    8.27825E-01    1.21693E-05    1.11192E+01    5.17537E-08    1.25993E-04    -1.40491E-07
219    5.71344E+03    8.49039E-01    1.22006E-05    1.27100E+01    5.15029E-08    1.24973E-04    -1.25897E-07
220    5.71385E+03    8.71792E-01    1.22356E-05    1.43127E+01    5.12539E-08    1.23960E-04    -1.11274E-07
221    5.71363E+03    8.96116E-01    1.22738E-05    1.59265E+01    5.10069E-08    1.22955E-04    -9.66281E-08
222    5.71278E+03    9.22053E-01    1.23151E-05    1.75511E+01    5.07618E-08    1.21957E-04    -8.19613E-08
223    5.71131E+03    9.49627E-01    1.23592E-05    1.91855E+01    5.05185E-08    1.20966E-04    -6.72775E-08
224    5.70921E+03    9.78875E-01    1.24058E-05    2.08293E+01    5.02771E-08    1.19984E-04    -5.25805E-08
225    5.70648E+03    1.00982E+00    1.24547E-05    2.24817E+01    5.00375E-08    1.19008E-04    -3.78739E-08
226    5.70313E+03    1.04250E+00    1.25055E-05    2.41421E+01    4.97997E-08    1.18040E-04    -2.31614E-08
227    5.69916E+03    1.07696E+00    1.25582E-05    2.58097E+01    4.95638E-08    1.17079E-04    -8.44650E-09
228    5.69456E+03    1.11321E+00    1.26123E-05    2.74839E+01    4.93296E-08    1.16125E-04    6.26703E-09
229    5.68936E+03    1.15128E+00    1.26676E-05    2.91640E+01    4.90972E-08    1.15178E-04    2.09756E-08
230    5.68352E+03    1.19122E+00    1.27239E-05    3.08494E+01    4.88665E-08    1.14239E-04    3.56755E-08
231    5.67708E+03    1.23303E+00    1.27809E-05    3.25392E+01    4.86375E-08    1.13306E-04    5.03631E-08
